N,Job ID,D,P,min,max,samples,MAX RSS,MEM,OLD MEM,1K MEM
1k,22584552,5,0.05,0,4,5,0.5,1,2,1
1k,22584552,5,0.1,5,9,5,0.36,1,1,1
1k,22584552,5,0.2,10,14,5,0.31,1,1,1
1k,22584552,5,0.3,15,19,5,0.3,1,1,1
1k,22584552,5,0.4,20,24,5,0.3,1,1,1
1k,22584552,5,0.5,25,29,5,0.3,1,1,1
1k,22584552,10,0.05,30,34,5,0.68,1,2,1
1k,22584552,10,0.1,35,39,5,0.44,1,1,1
1k,22584552,10,0.2,40,44,5,0.34,1,1,1
1k,22584552,10,0.3,45,49,5,0.32,1,1,1
1k,22584552,10,0.4,50,54,5,0.31,1,1,1
1k,22584552,10,0.5,55,59,5,0.31,1,1,1
1k,22584552,30,0.05,60,64,5,1.04,2,2,1
1k,22584552,30,0.1,65,69,5,0.66,2,2,1
1k,22584552,30,0.2,70,74,5,0.48,2,1,1
1k,22584552,30,0.3,75,79,5,0.44,2,1,1
1k,22584552,30,0.4,80,84,5,0.42,2,1,1
1k,22584552,30,0.5,85,89,5,0.42,2,1,1
1k,22584552,200,0.05,90,94,5,2.31,3,4,3
1k,22584552,200,0.1,95,99,5,1.97,3,3,3
1k,22584552,200,0.2,100,104,5,1.42,3,3,3
1k,22584552,200,0.3,105,109,5,1.34,3,3,3
1k,22584552,200,0.4,110,114,5,1.28,3,3,3
1k,22584552,200,0.5,115,119,5,1.27,3,3,3
1k,22584552,600,0.05,120,124,5,6.48,6,8,6
1k,22584552,600,0.1,125,129,5,4.17,6,6,6
1k,22584552,600,0.2,130,134,5,3.92,6,6,6
1k,22584552,600,0.3,135,139,5,3.9,6,6,6
1k,22584552,600,0.4,140,144,5,3.71,6,6,6
1k,22584552,600,0.5,145,149,5,3.83,6,6,6
10k,22584873,5,0.05,150,154,5,4.2,2,6,2
10k,22584873,5,0.1,155,159,5,2.3,2,4,2
10k,22584873,5,0.2,160,164,5,1.29,2,3,2
10k,22584873,5,0.3,165,169,5,1.1,2,2,2
10k,22584873,5,0.4,170,174,5,1.01,2,2,2
10k,22584873,5,0.5,175,179,5,0.95,2,2,2
10k,22584874,10,0.05,180,184,5,6.41,3,8,3
10k,22584874,10,0.1,185,189,5,3.39,3,6,3
10k,22584874,10,0.2,190,194,5,1.94,3,4,3
10k,22584874,10,0.3,195,199,5,1.51,3,3,3
10k,22584874,10,0.4,200,204,5,1.35,3,3,3
10k,22584874,10,0.5,205,209,5,1.3,3,3,3
10k,22584875,30,0.05,210,214,5,6.14,5,8,5
10k,22584875,30,0.1,215,219,5,6.57,5,8,5
10k,22584875,30,0.2,220,224,5,3.96,5,5,5
10k,22584875,30,0.3,225,229,5,3.38,5,5,5
10k,22584875,30,0.4,230,234,5,3.02,5,5,5
10k,22584875,30,0.5,235,239,5,3.03,5,5,5
10k,22584876,200,0.05,240,244,5,29.89,16,32,16
10k,22584876,200,0.1,245,249,5,7.51,16,10,16
10k,22584876,200,0.2,250,254,5,7.31,16,10,16
10k,22584876,200,0.3,255,259,4.5,15.89,16,18,16
10k,22584876,200,0.4,260,264,4.5,7.03,16,10,16
10k,22584876,200,0.5,265,269,3,15.77,16,20,16
10k,22584916,600,0.05,270,274,5,30.36,42,35,30
10k,22584916,600,0.1,275,279,5,38.8,36,42,30
10k,22584916,600,0.2,280,284,5,8.15,40,12,30
10k,22584916,600,0.3,285,289,2.5,0,30,35,30
10k,22584916,600,0.4,290,294,2.5,0,30,12,30
10k,22584916,600,0.5,295,299,2.5,0,52,35,30